id,lesson_id,title,text,position,kind
25,3,Apocalypse,"<p><span>There is a strong tradition of ""world ages"" in Mayan literature, but the record has been distorted, leaving several possibilities open to interpretation.</span><sup id=""cite_ref-FOOTNOTESeverin198175_20-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-FOOTNOTESeverin198175-20"">[20]</a></sup><span>&nbsp;According to the&nbsp;</span><em><a title=""Popol Vuh"" href=""http://en.wikipedia.org/wiki/Popol_Vuh"">Popol Vuh</a></em><span>, a compilation of the&nbsp;</span><a class=""mw-redirect"" title=""Mesoamerican creation accounts"" href=""http://en.wikipedia.org/wiki/Mesoamerican_creation_accounts"">creation accounts</a><span>&nbsp;of the&nbsp;</span><a title=""K'iche' people"" href=""http://en.wikipedia.org/wiki/K%27iche%27_people"">K'iche' Maya</a><span>&nbsp;of the Colonial-era highlands, we are living in the fourth world.</span><sup id=""cite_ref-FOOTNOTEScheleFreidel1990429.E2.80.93430_21-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-FOOTNOTEScheleFreidel1990429.E2.80.93430-21"">[21]</a></sup><span>&nbsp;The&nbsp;</span><em>Popol Vuh</em><span>&nbsp;describes the gods first creating three failed worlds, followed by a successful fourth world in which humanity was placed. In the Maya Long Count, the previous world ended after 13 b'ak'tuns, or roughly 5,125 years.</span><sup id=""cite_ref-FOOTNOTEFreidelScheleParker199363_22-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-FOOTNOTEFreidelScheleParker199363-22"">[22]</a></sup><sup id=""ref_Aa"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#endnote_Aa"">[Note a]</a></sup><span>&nbsp;The Long Count's ""zero date""</span><sup id=""ref_Bb"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#endnote_Bb"">[Note b]</a></sup><sup id=""ref_Cc"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#endnote_Cc"">[Note c]</a></sup><span>&nbsp;was set at a point in the past marking the end of the third world and the beginning of the current one, which corresponds to 11 August 3114&nbsp;BC in the&nbsp;</span><a title=""Proleptic Gregorian calendar"" href=""http://en.wikipedia.org/wiki/Proleptic_Gregorian_calendar"">proleptic Gregorian calendar</a><span>.</span><sup id=""cite_ref-FOOTNOTEAveni200946_23-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-FOOTNOTEAveni200946-23"">[23]</a></sup><sup id=""cite_ref-yucalandia_7-1"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-yucalandia-7"">[7]</a></sup><span>&nbsp;This means that the fourth world will also have reached the end of its 13th b'ak'tun, or Mayan date 13.0.0.0.0, on 21 December 2012. In 1957, Mayanist and astronomer Maud Worcester Makemson wrote that ""the completion of a Great Period of 13 b'ak'tuns would have been of the utmost significance to the Maya"".</span><sup id=""cite_ref-makemson1957_24-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-makemson1957-24"">[24]</a></sup><span>&nbsp;In 1966,&nbsp;</span><a title=""Michael D. Coe"" href=""http://en.wikipedia.org/wiki/Michael_D._Coe"">Michael D. Coe</a><span>&nbsp;wrote in&nbsp;</span><em>The Maya</em><span>&nbsp;that ""there is a suggestion&nbsp; [by whom?]... that Armageddon would overtake the degenerate peoples of the world and all creation on the final day of the 13th [b'ak'tun]. Thus&nbsp;... our present universe [would] be annihilated [in December 2012]</span><sup id=""ref_Ee"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#endnote_Ee"">[Note e]</a></sup><span>&nbsp;when the Great Cycle of the Long Count reaches completion.""</span><sup id=""cite_ref-FOOTNOTECoe1966149_25-0"" class=""reference""><a href=""http://en.wikipedia.org/wiki/2012_phenomenon#cite_note-FOOTNOTECoe1966149-25"">[25]</a></sup></p>",3,text
26,3,Other catastrophes,"<p><span>Other speculations regarding doomsday in 2012 have included predictions by the&nbsp;</span>Web Bot<span>&nbsp;project, a computer program that purports to predict the future using Internet chatter. However, commentators have rejected the programmers' claims to have successfully predicted natural disasters, which web chatter could never predict, as opposed to human-caused disasters like stock market crashes.</span></p>",4,image1
27,6,Egon Schiele,,1,cover
28,6,Egon Schiele 1890/1918,"<p><span class=""unicode""><strong>Egon Schiele</strong><small class=""metadata audiolinkinfo"">&nbsp;</small></span><span class=""unicode"">was an&nbsp;</span>Austrianpainter<span class=""unicode"">. A prot&eacute;g&eacute; of&nbsp;</span>Gustav Klimt<span class=""unicode"">, Schiele was a major figurative painter of the early 20th century. His work is noted for its intensity, and the many self-portraits the artist produced. The twisted body shapes and the expressive line that characterize Schiele's paintings and drawings mark the artist as an early exponent of&nbsp;</span>Expressionism<span class=""unicode"">.</span></p>
<p><span class=""unicode"">Schiele was born in 1890 in&nbsp;</span>Tulln<span class=""unicode"">&nbsp;on the&nbsp;</span>Danube<span class=""unicode"">. His father, Adolph Schiele, was the station master of the Tulln station in the&nbsp;</span>Austrian State Railways<span class=""unicode"">; his mother Marie, n&eacute;e Soukupov&aacute;, was a&nbsp;</span>Czech<span class=""unicode"">&nbsp;from&nbsp;</span>Česk&yacute; Krumlov<span class=""unicode"">&nbsp;(Krumau), in southern&nbsp;</span>Bohemia<span class=""unicode"">. As a child, Schiele was fascinated by trains, and would spend many hours drawing them, to the point where his father felt obliged to destroy his sketchbooks. When he was 11 years old, Schiele moved to the nearby city of&nbsp;</span>Krems<span class=""unicode"">&nbsp;(and later to&nbsp;</span>Klosterneuburg<span class=""unicode"">) to attend secondary school. To those around him, Schiele was regarded as a strange child. Shy and reserved, he did poorly at school except in athletics and drawing,</span><sup id=""cite_ref-1"" class=""reference"">[1]</sup><span class=""unicode"">&nbsp;and was usually in classes made up of younger pupils. He also displayed incestuous tendencies towards his younger sister Gertrude (who was known as&nbsp;</span><em>Gerti</em><span class=""unicode"">), and his father, well aware of Egon's behaviour, was once forced to break down the door of a locked room that Egon and Gerti were in to see what they were doing (only to discover that they were developing a film). When he was sixteen he took the twelve-year-old Gerti by train to&nbsp;</span>Trieste<span class=""unicode"">&nbsp;without permission and spent a night in a hotel room with her.</span></p>",2,image1
29,6,,,3,image2
30,3,,,5,image3
31,6,,,10,image3
34,6,,,6,image3
37,6,Academy of Fine Art,"<p><span>When Schiele was 15 years old, his father died from&nbsp;</span>syphilis<span>, and he became a ward of his maternal uncle, Leopold Czihaczec, also a railway official. Although he wanted Schiele to follow in his footsteps, and was distressed at his lack of interest in academia, he recognised Schiele's talent for drawing and unenthusiastically allowed him a tutor; the artist Ludwig Karl Strauch. In 1906 Schiele applied at the&nbsp;</span>Kunstgewerbeschule<span>&nbsp;(School of Arts and Crafts) in&nbsp;</span>Vienna<span>, where&nbsp;</span>Gustav Klimt<span>&nbsp;had once studied. Within his first year there, Schiele was sent, at the insistence of several faculty members, to the more traditional&nbsp;</span>Akademie der Bildenden K&uuml;nste<span>&nbsp;in Vienna in 1906. His main teacher at the academy was&nbsp;</span>Christian Griepenkerl<span>, a painter whose strict doctrine and ultra-conservative style frustrated and dissatisfied Schiele and his fellow students so much that he left three years later.</span></p>",4,image1
39,6,Klimt and first exhibitions,"<p>In 1907, Schiele sought out Gustav Klimt. Klimt generously mentored younger artists, and he took a particular interest in the gifted young Schiele, buying his drawings, offering to exchange them for some of his own, arranging models for him and introducing him to potential patrons. He also introduced Schiele to the&nbsp;Wiener Werkst&auml;tte, the arts and crafts workshop connected with the&nbsp;Secession. In 1908 Schiele had his first exhibition, in&nbsp;Klosterneuburg. Schiele left the Academy in 1909, after completing his third year, and founded the&nbsp;<em>Neukunstgruppe</em>&nbsp;(""New Art Group"") with other dissatisfied students.</p>
<p>Klimt invited Schiele to exhibit some of his work at the 1909 Vienna&nbsp;<em>Kunstschau</em>, where he encountered the work of&nbsp;Edvard Munch,&nbsp;Jan Toorop, andVincent van Gogh&nbsp;among others. Once free of the constraints of the Academy's conventions, Schiele began to explore not only the human form, but also human sexuality. At the time, many found the explicitness of his works disturbing.</p>
<p>From then on, Schiele participated in numerous group exhibitions, including those of the Neukunstgruppe in Prague in 1910 and&nbsp;Budapest&nbsp;in 1912; theSonderbund,&nbsp;Cologne, in 1912; and several Secessionist shows in&nbsp;Munich, beginning in 1911. In 1913, the&nbsp;Galerie Hans Goltz, Munich, mounted Schiele's first solo show. A solo exhibition of his work took place in&nbsp;Paris&nbsp;in 1914.</p>",5,image1
41,5,Pop Art,"<p>Pop art is an art movement that emerged in the mid 1950s in Britain and in the late 1950s in the United States. Pop art presented a challenge to traditions of fine art by including imagery from popular culture such as advertising, news, etc. In Pop art, material is sometimes visually removed from its known context, isolated, and/or combined with unrelated material. The concept of pop art refers not as much to the art itself as to the attitudes that led to it.</p>
<p><br />Pop art employs aspects of mass culture, such as advertising, comic books and mundane cultural objects. It is widely interpreted as a reaction to the then-dominant ideas of abstract expressionism, as well as an expansion upon them.[3] And due to its utilization of found objects and images it is similar to Dada. Pop art is aimed to employ images of popular as opposed to elitist culture in art, emphasizing the banal or kitschy elements of any given culture, most often through the use of irony.</p>
<p>It is also associated with the artists' use of mechanical means of reproduction or rendering techniques.<br />Much of pop art is considered incongruent, as the conceptual practices that are often used make it difficult for some to readily comprehend.<br />Pop art and minimalism are considered to be art movements that precede postmodern art, or are some of the earliest examples of Post-modern Art themselves.</p>
<p><br />Pop art often takes as its imagery that which is currently in use in advertising.[5] Product labeling and logos figure prominently in the imagery chosen by pop artists, like in the Campbell's Soup Cans labels, by Andy Warhol. Even the labeling on the shipping carton containing retail items has been used as subject matter in pop art, for example in Warhol's Campbell's Tomato Juice Box 1964, (pictured below), or his Brillo Soap Box sculptures.</p>",2,text
42,5,,,4,image3
44,5,Andy Warhol,,3,title
45,5,The Factory,"<p><strong>Andy Warhol (August 6, 1928 &ndash; February 22, 1987)</strong> was an American artist who was a leading figure in the visual art movement known as pop art. His works explore the relationship between artistic expression, celebrity culture and advertisement that flourished by the 1960s. After a successful career as a commercial illustrator, Warhol became a renowned and sometimes controversial artist. The Andy Warhol Museum in his native city, Pittsburgh, Pennsylvania, holds an extensive permanent collection of art and archives. It is the largest museum in the United States of America dedicated to a single artist.</p>
<p><br />Warhol's art encompassed many forms of media, including hand drawing, painting, printmaking, photography, silk screening, sculpture, film, and music. He was also a pioneer in computer-generated art using Amiga computers that were introduced in 1984, two years before his death. He founded Interview Magazine and was the author of numerous books, including The Philosophy of Andy Warhol and Popism: The Warhol Sixties. He is also notable as a gay man who lived openly as such before the gay liberation movement. His studio, The Factory, was a famous gathering place that brought together distinguished intellectuals, drag queens, playwrights, Bohemian street people, Hollywood celebrities, and wealthy patrons.<br />Warhol has been the subject of numerous retrospective exhibitions, books, and feature and documentary films. He coined the widely used expression ""15 minutes of fame"". Many of his creations are very collectible and highly valuable. The highest price ever paid for a Warhol painting is US$100 million for a 1963 canvas titled Eight Elvises.</p>",5,image1
46,5,Keith Haring,,6,title
48,5,,,7,image3
49,5, School of Visual Arts,"<p>Haring achieved his first public attention with chalk drawings in the subways of New York (see public art). These were his first recognized pieces of pop art. The exhibitions were filmed by the photographer Tseng Kwong Chi. Around this time, ""The Radiant Baby"" became his symbol.</p>
<p>His bold lines, vivid colors, and active figures carry strong messages of life and unity. Starting in 1980, he organized exhibitions in Club 57. He participated in the Times Square Exhibition and drew, for the first time, animals and human faces. That same year, he photocopied and pasted around the city provocative collages made from cut-up and recombined New York Post headlines. In 1981 he sketched his first chalk drawings on black paper and painted plastic, metal and found objects.</p>
<p><br />By 1982, Haring established friendships with fellow emerging artists Futura 2000, Kenny Scharf, Madonna and Jean-Michel Basquiat. Haring created more than 50 public works between 1982 and 1989 in dozens of cities around the world. His famous ""Crack is Wack"" mural, created in 1986, has become a landmark on New York's FDR Drive. He got to know Andy Warhol, who was the theme of several of Haring's pieces including ""Andy Mouse."" His friendship with Warhol would prove to be a decisive element in his eventual success, particularly after their deaths.</p>
<p><br />In December 2007, an area of the American Textile Building in the TriBeCa neighborhood of New York City was discovered to contain a painting of Haring's from 1979.</p>",8,image1
50,5,The POP in Italy,,9,title
51,5,,,10,image3
52,5,,,11,image3
53,5,Mario Schifano,"<p><strong>Mario Schifano ( 20 September 1934, Khoms, Libya - 26 January 1998, Rome, Italy )</strong></p>
<p>was an Italian painter and collagist of the Postmodern tradition. He also achieved some renown as a film-maker and rock musician.</p>
<p><br />He is considered to be one of most significant and pre-eminent artists of Italian postmodernism, alongside contemporaries such as Francesco Clemente, Sandro Chia and Giulio Paolini. His work was exhibited in the famous 1962 ""New Realists"" show at the Sidney Janis Gallery with all the young Pop art and Nouveau r&eacute;alisme luminaries, including Andy Warhol and Roy Lichtenstein. He became part of the core group of artists comprising the ""Scuola romana"" alongside Franco Angeli and Tano Festa .</p>
<p>Reputed as a prolific and exuberant artist, he nonetheless struggled with a lifelong drug habit that earned him the label maledetto, or ""cursed"".</p>
<p><br />Schifano had a relationship with Marianne Faithfull in 1969</p>",12,image1
54,5,,,13,image3
56,3,Locating the Maya,"<p>The Maya civilization was one of the most dominant indigenous societies of Mesoamerica (a term used to describe Mexico and Central America before the 16th century Spanish conquest). Unlike other scattered indigenous populations of Mesoamerica, the Maya were centered in one geographical block covering all of the Yucatan Peninsula and modern-day Guatemala; Belize and parts of the Mexican states of Tabasco and Chiapas; and the western part of Honduras and El Salvador. This concentration showed that the Maya remained relatively secure from invasion by other Mesoamerican peoples.</p>
<p>Within that expanse, the Maya lived in three separate sub-areas with distinct environmental and cultural differences: the northern Maya lowlands on the Yucatan Peninsula; the southern lowlands in the Peten district of northern Guatemala and adjacent portions of Mexico, Belize and western Honduras; and the southern Maya highlands, in the mountainous region of southern Guatemala. Most famously, the Maya of the southern lowland region reached their peak during the Classic Period of Maya civilization (A.D. 250 to 900), and built the great stone cities and monuments that have fascinated explorers and scholars of the region.</p>",6,image1
57,3,,,7,image2
59,6,Style,"<p>In his early years, Schiele was strongly influenced by Klimt and&nbsp;Kokoschka. Although imitations of their styles, particularly with the former, are noticeably visible in Schiele's first works, he soon evolved into his own distinctive style.</p>
<p>Schiele's earliest works between 1907 and 1909 contain strong similarities with those of Klimt,&nbsp;as well as influences from&nbsp;Art Nouveau.&nbsp;In 1910, Schiele began experimenting with nudes and within a year a definitive style featuring emaciated, sickly-coloured figures, often with strong sexual overtones. Within this year Schiele also painted and drew many children.<sup id=""cite_ref-7"" class=""reference""><br /></sup></p>
<p>Progressively, Schiele's work grew more complex and thematic, and after his imprisonment in 1912 he dealt with themes such as death and rebirth,&nbsp;although female nudes remained his main output. During the war Schiele's paintings became larger and more detailed, when he had the time to produce them. His military service however gave him limited time, and much of his output consisted of linear drawings of scenery and military officers. Around this time Schiele also began experimenting with the theme of motherhood and family.&nbsp;His wife Edith was the model for most of his female figures, but during the war due to circumstance, many of his sitters were male. Since 1920, Schiele's female nudes had become fuller in figure, but many were deliberately illustrated with a lifeless doll-like appearance. Towards the end of his life, Schiele drew many natural and architectural subjects. His last few drawings consisted of female nudes, some in masturbatory poses.</p>
<p>Some view Schiele's work as being grotesque, erotic, pornographic, or disturbing, focusing on sex, death, and discovery. He focused on portraits of others as well as himself. In his later years, while he still worked often with nudes, they were done in a more realist fashion. He also painted tributes to&nbsp;Van Gogh's&nbsp;<em>Sunflowers</em>&nbsp;as well as landscapes and still lifes.</p>",7,text
60,6,,,8,image2
62,5,Mimmo Rotella,"<p><strong>Domenico ""Mimmo"" Rotella, (7 October 1918 &ndash; 8 January 2006),</strong></p>
<p>was an Italian artist and poet best known for his works of d&eacute;collage and psychogeographics, made from torn advertising posters.<br />Rotella was born in Catanzaro, Calabria.</p>
<p><br />He was associated to the Ultra-Lettrists an offshoot of Lettrism and later was a member of the Nouveau R&eacute;alisme group, founded by Pierre Restany in 1960, whose other members included Yves Klein, Arman and Jean Tinguely.<br />He exhibited at the I.C.A., London 1957.</p>
<p><br />He died in Milan in 2006.</p>",14,image1
63,6,,,9,image3
64,6,,,11,image3
65,6,,,12,image2
66,6,,,13,image2
67,6,,,14,image3
68,7,Rene Magritte and his paintings,,1,cover
70,8,Every man for himself ...,,1,cover
71,6,Quotes,"<p class=""article_text"" style=""text-align: center;"">&nbsp;</p>
<p class=""article_text"" style=""text-align: center;""><em><span class=""size2"">""I do not deny that I have made drawings and watercolors of an erotic nature. But they are always works of art. Are there no artists who have done erotic pictures?""</span></em></p>
<p class=""article_text"" style=""text-align: center;"">&nbsp;</p>
<p class=""article_text"" style=""text-align: center;""><em><span class=""size2"">""I believe in the immortality of all creatures.""</span></em></p>
<p class=""article_text"" style=""text-align: center;"">&nbsp;</p>
<p class=""article_text"" style=""text-align: center;""><em><span class=""size2"">""Everything is dead while it lives.""</span></em></p>
<p class=""article_text"" style=""text-align: center;"">&nbsp;</p>
<p class=""article_text"" style=""text-align: center;""><em><span class=""size2"">""To hamper an artist is a crime, the murder of germinating life!""</span></em></p>",15,text
72,8,The Sea Gull,"<p>Gull species range in size from the Little Gull, at 120 g (4.2 oz) and 29 cm (11.5 inches), to the Great Black-backed Gull, at 1.75 kg (3.8 lbs) and 76 cm (30 inches).</p>
<p>They are generally uniform in shape, with heavy bodies, long wings, moderately long necks . The tails of all but three species are rounded; the exceptions being the Sabine's Gull and Swallow-tailed Gulls, which have forked tails, and the Ross's Gull, which has a wedge-shaped tail. Gulls have moderately long legs (certainly longer than the terns) with fully webbed feet. The bill is generally heavy and slightly hooked, with the larger species having stouter bills than the smaller species. The bill colour is often yellow with a red spot for the larger white-headed species and red, dark red or black in the smaller species.</p>
<p><br />The gulls are generalist feeders, indeed they are the least specialised of all the seabirds, and their morphology allows for equal adeptness in swimming, flying and walking. They are more adept walking on land than most other seabirds, and the smaller gulls tend to be more manoeuvrable while walking. The walking gait of gulls includes a slight side to side motion, something that can be exaggerated in breeding displays. In the air they are able to hover and they are also able to take off quickly with little space.</p>",2,image1
73,9,Sebastião Salgado,,1,cover
74,8,Donkey,"<p>The donkey or ass, Equus africanus asinus, is a domesticated member of the Equidae or horse family. The wild ancestor of the donkey is the African wild ass, E. africanus. The donkey has been used as a working animal for at least 5000 years. There are more than 40 million donkeys in the world, mostly in underdeveloped countries, where they are used principally as draught or pack animals. Working donkeys are often associated with those living at or below subsistence levels. Small numbers of donkeys are kept for breeding or as pets in developed countries.</p>
<p><br />A male donkey or ass is called a jack, a female a jenny or jennet;a young donkey is a foal.[5] Jack donkeys are often used to produce mules.</p>
<p><br />Asses were first domesticated around 3000 BC,[6] or 4000 BC, probably in Egypt or Mesopotamia, and have spread around the world. They continue to fill important roles in many places today.</p>
<p>While domesticated species are increasing in numbers, the African wild ass and another relative, the Onager, are endangered. As beasts of burden and companions, asses and donkeys have worked together with humans for millennia.</p>",3,image1
75,8,,,4,video2
77,7,,,2,image2
