id,user_id,title,description,sti_type,is_public,publication_date,mp4_duration,webm_duration,m4a_duration,ogg_duration
66,6,Basquiat,"Jean-Michel Basquiat (December 22, 1960 – August 12, 1988) was an American artist.[1] He began as an obscure graffiti artist in New York City in the late 1970s and evolved into an acclaimed Neo-expressionist and Primitivist painter by the 1980s.",Image,t,2012-12-21 14:50:11.170362,,,,
67,6,SAMO,"Jean-Michel Basquiat, born in Brooklyn, New York after the death of his brother Max, was the second of four children of Matilda Andrades (July 28, 1934 – November 17, 2008) and Gerard Basquiat (born 1930).",Image,t,2012-12-21 14:50:11.170362,,,,
68,6,J.M.Basquiat - 50Cent,"In 1976, Basquiat and friend Al Diaz began spray-painting graffiti on buildings in Lower Manhattan, working under the pseudonym SAMO.",Image,t,2012-12-21 14:50:11.170362,,,,
69,6,J.M.Basquiat - King,"In 1976, Basquiat and friend Al Diaz began spray-painting graffiti on buildings in Lower Manhattan, working under the pseudonym SAMO.",Image,t,2012-12-21 14:50:11.170362,,,,
70,6,J.M.Basquiat - Ghost,"In 1976, Basquiat and friend Al Diaz began spray-painting graffiti on buildings in Lower Manhattan, working under the pseudonym SAMO.",Image,t,2012-12-21 14:50:11.170362,,,,
71,6,J.M.Basquiat,"In 1976, Basquiat and friend Al Diaz began spray-painting graffiti on buildings in Lower Manhattan, working under the pseudonym SAMO.",Image,t,2012-12-21 14:50:11.170362,,,,
72,6,J.M.Basquiat in New York,"In 1976, Basquiat and friend Al Diaz began spray-painting graffiti on buildings in Lower Manhattan, working under the pseudonym SAMO.",Image,t,2012-12-21 14:50:11.170362,,,,
73,6,London taxy,The famous london taxi,Image,t,2012-12-21 14:50:12.55499,,,,
74,6,London,"The London Eye is a giant Ferris wheel situated on the banks of the River Thames in London, England. The entire structure is 135 metres (443 ft) tall and the wheel has a diameter of 120 metres (394 ft).",Image,t,2012-12-21 14:50:12.55499,,,,
75,6,The weather in London,"The etymology of London is uncertain.
It is an ancient name and can be found in sources from the 2nd century.",Image,t,2012-12-21 14:50:12.55499,,,,
76,6,Duffy,"Stephen Anthony James Duffy (born 30 May 1960, Alum Rock, Birmingham, England) is an English singer/songwriter, and multi-instrumentalist.",Image,t,2012-12-21 14:50:12.55499,,,,
77,3,Egon Schiele,Portrait,Image,t,2012-12-21 09:35:37.599689,,,,
78,3,Egon Schiele self-portrait,"Selbstporträt mit Lampionfrüchten, 1912",Image,t,2012-12-21 09:35:37.599689,,,,
79,3,"Egon Schiele, Mime van Osen","Egon Schiele, Mime van Osen mit aneinandergelegten Fingerspitzen",Image,t,2012-12-21 09:35:37.599689,,,,
80,3,Arthut Roessler,Egon Schiele,Image,t,2012-12-21 09:35:37.599689,,,,
81,3,Egon Schiele,Nude of woman,Image,t,2012-12-21 09:35:37.599689,,,,
82,2,calendar,The 2012 phenomenon comprises a range of,Image,t,2012-12-20 16:35:13.284518,,,,
83,3,Egon Schiele,Nude of woman,Image,t,2012-12-21 09:35:37.599689,,,,
84,3,Egon Schiele,Two girls embracing each other,Image,t,2012-12-21 17:00:41.154427,,,,
85,7,Warhol - Merilyn,"Although Pop Art began in the late 1950s, Pop Art in America was given its greatest impetus during the 1960s.",Image,t,2012-12-21 17:00:41.530187,,,,
86,3,Egon Schiele,Männlicher Akt mit rotem Tuch,Image,t,2012-12-21 09:35:37.599689,,,,
87,7, Roy Lichtenstein,"His work probably defines the basic premise of pop art better than any other through parody.[7] Selecting the old-fashioned comic strip as subject matter, Lichtenstein produces a hard-edged, precise composition that documents while it parodies in a soft manner.",Image,t,2012-12-21 17:00:41.479261,,,,
88,3,Egon Schiele,Nude,Image,t,2012-12-21 09:35:37.599689,,,,
89,7,Andy Warhol - Portrait,"Andy Warhol (August 6, 1928 – February 22, 1987)",Image,t,2012-12-20 17:13:31.794902,,,,
90,2,Pleiades,Beautiful stars.,Image,t,2012-12-21 14:48:10.021677,,,,
91,7,Warhol,"Andy Warhol (August 6, 1928 – February 22, 1987)",Image,t,2012-12-20 17:13:31.794902,,,,
92,7,Velvet Underground,Velvet Underground album cover by Andy Warhol,Image,t,2012-12-21 17:00:41.61719,,,,
93,7,Keith Haring,"Keith Haring (May 4, 1958 – February 16, 1990)",Image,t,2012-12-20 17:13:31.794902,,,,
95,2,Angry Maya Statue,Many similar busts were used as architectural embellishments on Structure 22 at Copán. ,Image,t,2012-12-21 08:11:25.353264,,,,
96,7,Keith Haring - Yes,"Keith Haring (May 4, 1958 – February 16, 1990)",Image,t,2012-12-20 17:13:31.794902,,,,
97,7,Mimmo Rotella,"Domenico ""Mimmo"" Rotella
(7 October 1918 – 8 January 2006), was an Italian artist and poet best known for his works of décollage and psychogeographics, made from torn advertising posters. Rotella was born in Catanzaro, Calabria.",Image,t,2012-12-20 17:13:31.794902,,,,
98,7,Mario Schifano - Bicicletta,"Mario Schifano ( 20 September 1934, Khoms, Libya - 26 January 1998, Rome, Italy ) was an Italian painter and collagist of the Postmodern tradition. He also achieved some renown as a film-maker and rock musician.",Image,t,2012-12-20 17:13:31.794902,,,,
99,3,Academy of Fine Arts Vienna,"The Academy of Fine Arts Vienna (German: Akademie der bildenden Künste Wien) is a public art school of higher education in Vienna, Austria.",Image,t,2012-12-21 09:35:37.599689,,,,
100,3,Gustav Klimt,The kiss (1907-08),Image,t,2012-12-21 09:35:37.599689,,,,
101,7,Mario Schifano - Coca Cola,"Mario Schifano ( 20 September 1934, Khoms, Libya - 26 January 1998, Rome, Italy ) was an Italian painter and collagist of the Postmodern tradition. He also achieved some renown as a film-maker and rock musician.",Image,t,2012-12-20 17:13:31.794902,,,,
102,7,Mario Schifano,"Mario Schifano ( 20 September 1934, Khoms, Libya - 26 January 1998, Rome, Italy )",Image,t,2012-12-20 17:13:31.794902,,,,
104,2,Temple,temple,Image,t,2012-12-21 08:39:40.38566,,,,
105,2,maya,sdlò ds,Image,t,2012-12-21 08:43:27.07129,,,,
106,2,Maize,"Tonsured Maize God as a patron of the scribal arts, Classic period",Image,t,2012-12-21 08:43:27.128567,,,,
107,2,Elephant,description (max 280 characters),Image,t,2012-12-21 08:45:37.105372,,,,
108,3,"Seated woman with bent knee, 1917","Seated woman with bent knee, 1917",Image,t,2012-12-21 09:35:37.599689,,,,
109,3,"Egon Schiele, Friendship, 1913","Egon Schiele, Friendship, 1913",Image,t,2012-12-21 09:35:37.599689,,,,
110,7,Keith Haring  -  Paint,"Keith Haring (Reading, 4 maggio 1958 – New York, 16 febbraio 1990)",Image,t,2012-12-21 09:24:45.901403,,,,
111,3,Egon Schiele,"Reserve infantry corporal, 1916",Image,t,2012-12-21 09:35:37.599689,,,,
112,3,Egon Schiele,Self,Image,t,2012-12-21 09:35:37.599689,,,,
113,3,Egon Schiele,"Die kleine Stadt II, 1912–1913.",Image,t,2012-12-21 09:35:37.599689,,,,
114,3,Egon Schiele,"House with Shingles, 1915",Image,t,2012-12-21 09:35:37.599689,,,,
115,3,Egon Schiele,Self-portrait,Image,t,2012-12-21 09:35:37.599689,,,,
116,7,Mimmo Rotella,"Domenico ""Mimmo"" Rotella, (7 October 1918 – 8 January 2006)",Image,t,2012-12-21 09:30:30.875251,,,,
118,2,Golconda,painting,Image,t,2012-12-21 14:49:43.169187,,,,
119,2,The son of man,"Beautiful, original hand-painted artwork in your home. ",Image,t,2012-12-21 14:49:43.169187,,,,
120,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
121,2,The listening room,Rene Magritte,Image,t,2012-12-21 17:00:41.661839,,,,
122,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
123,3,Sebastião Salgado,Bombay,Image,t,2012-12-21 13:12:03.801115,,,,
124,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
125,3,Salgado,Alaska,Image,t,2012-12-21 13:12:03.801115,,,,
126,2,Rene Magritte,Photo Magritte,Image,t,2012-12-21 14:49:43.169187,,,,
127,3,Salgado,Alaska,Image,t,2012-12-21 13:12:03.801115,,,,
128,3,Salgado,Alaska,Image,t,2012-12-21 13:12:03.801115,,,,
129,3,Salgado,Workers,Image,t,2012-12-21 13:12:03.801115,,,,
130,3,Salgado,Mozambico,Image,t,2012-12-21 13:12:03.801115,,,,
131,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
132,3,Salgado,Tree and children,Image,t,2012-12-21 13:12:03.801115,,,,
133,3,Salgado,Untitled,Image,t,2012-12-21 13:12:03.801115,,,,
134,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
135,3,Salgado,Alaska,Image,t,2012-12-21 13:12:03.801115,,,,
136,2,Les amants,people with cloth obscuring their faces,Image,t,2012-12-21 14:49:43.169187,,,,
137,3,Salgado,Petrol,Image,t,2012-12-21 13:12:03.801115,,,,
138,3,Salgado,Untitled,Image,t,2012-12-21 13:12:03.801115,,,,
139,3,Salgado,Untitled,Image,t,2012-12-21 13:12:03.801115,,,,
140,3,Sebastiao Salgado,Portrait,Image,t,2012-12-21 13:12:03.801115,,,,
141,3,Salgado,India,Image,t,2012-12-21 13:12:03.801115,,,,
142,3,Salgado,Nature,Image,t,2012-12-21 13:12:03.801115,,,,
143,3,Salgado,Terra,Image,t,2012-12-21 17:00:41.911427,,,,
144,3,Salgado,Sebastiao Salgado,Image,t,2012-12-21 17:00:41.955924,,,,
145,3,Salgado,Alaska,Image,t,2012-12-21 17:00:42.045933,,,,
146,3,Salgado,Alaska,Image,t,2012-12-21 17:00:42.159968,,,,
147,3,Salgado,Africa,Image,t,2012-12-21 13:12:03.801115,,,,
148,3,Koudelka,Romania,Image,t,2012-12-21 17:00:42.207936,,,,
149,3,Koudelka,Slovacchia,Image,t,2012-12-21 13:11:57.344296,,,,
150,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
151,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
152,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
153,3,Koudelka,Untitled,Image,t,2012-12-21 13:11:57.344296,,,,
154,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
155,3,Koudelka,Dog,Image,t,2012-12-21 13:11:57.344296,,,,
156,3,Koudelka,Untitled,Image,t,2012-12-21 13:11:57.344296,,,,
157,3,Koudelka,Untitled,Image,t,2012-12-21 17:00:42.297982,,,,
158,3,Koudelka,Untitled,Image,t,2012-12-21 13:11:57.344296,,,,
159,3,Koudelka,Boemia,Image,t,2012-12-21 17:00:42.343186,,,,
160,3,Koudelka,Birds,Image,t,2012-12-21 17:00:42.387948,,,,
161,3,Koudelka,Koudelka,Image,t,2012-12-21 13:11:57.344296,,,,
162,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
163,3,Koudelka,Untitled,Image,t,2012-12-21 13:11:57.344296,,,,
164,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
165,3,Koudelka,Boemia,Image,t,2012-12-21 13:11:57.344296,,,,
166,3,Koudelka,Portrait,Image,t,2012-12-21 13:11:57.344296,,,,
167,7,Albert,Albert Einstein (4 March 1879 – 18 April 1955),Image,t,2012-12-21 11:39:10.669061,,,,
168,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
169,3,Koudelka,Praga 68,Image,t,2012-12-21 13:11:57.344296,,,,
170,3,Koudelka,Praga 68,Image,t,2012-12-21 13:11:57.344296,,,,
171,3,Koudelka,Praga 1968,Image,t,2012-12-21 17:00:42.543976,,,,
172,3,Koudelka,Praga 1968,Image,t,2012-12-21 13:11:57.344296,,,,
173,3,Koudelka,Praga,Image,t,2012-12-21 13:11:57.344296,,,,
174,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
175,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
176,7,Pitagora,"Pythagoras of Samos (Ancient Greek: Πυθαγόρας ὁ Σάμιος [Πυθαγόρης in Ionian Greek] Pythagóras ho Sámios ""Pythagoras the Samian"", or simply Πυθαγόρας; b. about 570 – d. about 495 BC)",Image,t,2012-12-21 11:39:10.669061,,,,
177,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
178,3,Koudelka,Gypsies,Image,t,2012-12-21 13:11:57.344296,,,,
180,4,ape sui fiori,un'ape sui fiori,Video,t,2012-12-21 17:00:41.707098,7.06,7.06,,
181,7,Titolo,Descrizione,Video,f,,19.2,19.2,,
182,7,Misfits,A picture of Misfits,Image,f,,,,,
183,7,Dexter,A picture of Dexter,Image,f,,,,,
186,8,chiinese,it is ok,Image,f,,,,,
187,1,sun,sun flare,Video,f,,10.04,10.04,,
189,7,Woman,A photo of a blond woman,Image,f,,,,,
190,1,volto,fisica,Image,f,,,,,
191,5,rolex daytona,rolex daytona nero pdv,Image,f,,,,,
192,5,renna,renna natalizia,Image,f,,,,,
