tag_id,taggable_id,taggable_type
228,170,MediaElement
211,170,MediaElement
231,170,MediaElement
232,170,MediaElement
228,171,MediaElement
211,171,MediaElement
231,171,MediaElement
232,171,MediaElement
228,172,MediaElement
211,172,MediaElement
231,172,MediaElement
232,172,MediaElement
228,173,MediaElement
211,173,MediaElement
231,173,MediaElement
232,173,MediaElement
228,174,MediaElement
233,174,MediaElement
211,174,MediaElement
212,174,MediaElement
228,175,MediaElement
233,175,MediaElement
211,175,MediaElement
212,175,MediaElement
63,176,MediaElement
234,176,MediaElement
5,176,MediaElement
120,176,MediaElement
228,177,MediaElement
235,177,MediaElement
211,177,MediaElement
212,177,MediaElement
228,178,MediaElement
233,178,MediaElement
211,178,MediaElement
212,178,MediaElement
236,90,MediaElement
237,90,MediaElement
238,90,MediaElement
16,90,MediaElement
239,180,MediaElement
240,180,MediaElement
242,180,MediaElement
243,180,MediaElement
244,181,MediaElement
245,181,MediaElement
246,181,MediaElement
247,181,MediaElement
250,182,MediaElement
251,182,MediaElement
208,182,MediaElement
252,182,MediaElement
250,183,MediaElement
253,183,MediaElement
208,183,MediaElement
141,183,MediaElement
258,14,Lesson
259,14,Lesson
260,14,Lesson
261,14,Lesson
258,15,Lesson
259,15,Lesson
260,15,Lesson
261,15,Lesson
258,16,Lesson
259,16,Lesson
260,16,Lesson
261,16,Lesson
258,17,Lesson
259,17,Lesson
260,17,Lesson
261,17,Lesson
258,186,MediaElement
259,186,MediaElement
260,186,MediaElement
262,186,MediaElement
267,19,Lesson
268,19,Lesson
269,19,Lesson
270,19,Lesson
108,187,MediaElement
271,187,MediaElement
272,187,MediaElement
237,187,MediaElement
276,20,Lesson
277,20,Lesson
278,20,Lesson
279,20,Lesson
66,189,MediaElement
280,189,MediaElement
281,189,MediaElement
282,189,MediaElement
283,21,Lesson
284,21,Lesson
285,21,Lesson
286,21,Lesson
287,190,MediaElement
288,190,MediaElement
289,190,MediaElement
290,190,MediaElement
291,191,MediaElement
292,191,MediaElement
293,191,MediaElement
294,191,MediaElement
295,192,MediaElement
296,192,MediaElement
297,192,MediaElement
298,192,MediaElement
8,22,Lesson
17,22,Lesson
44,22,Lesson
134,22,Lesson
138,22,Lesson
299,23,Lesson
300,23,Lesson
37,23,Lesson
137,23,Lesson
132,256,MediaElement
475,256,MediaElement
476,256,MediaElement
477,256,MediaElement
478,256,MediaElement
484,259,MediaElement
479,259,MediaElement
485,259,MediaElement
486,259,MediaElement
487,259,MediaElement
496,260,MediaElement
497,260,MediaElement
498,260,MediaElement
499,260,MediaElement
500,260,MediaElement
508,262,MediaElement
509,262,MediaElement
510,262,MediaElement
511,262,MediaElement
516,263,MediaElement
517,263,MediaElement
484,263,MediaElement
518,263,MediaElement
496,264,MediaElement
519,264,MediaElement
296,264,MediaElement
520,264,MediaElement
521,264,MediaElement
522,265,MediaElement
500,265,MediaElement
523,265,MediaElement
524,265,MediaElement
471,265,MediaElement
525,265,MediaElement
469,62,Lesson
470,62,Lesson
471,62,Lesson
472,62,Lesson
473,62,Lesson
474,62,Lesson
196,120,MediaElement
197,120,MediaElement
198,120,MediaElement
199,120,MediaElement
200,122,MediaElement
197,122,MediaElement
198,122,MediaElement
199,122,MediaElement
196,123,MediaElement
197,123,MediaElement
198,123,MediaElement
199,123,MediaElement
196,124,MediaElement
201,124,MediaElement
202,124,MediaElement
203,124,MediaElement
196,125,MediaElement
201,125,MediaElement
203,125,MediaElement
204,125,MediaElement
196,127,MediaElement
203,127,MediaElement
204,127,MediaElement
201,127,MediaElement
196,128,MediaElement
203,128,MediaElement
204,128,MediaElement
202,128,MediaElement
196,129,MediaElement
203,129,MediaElement
204,129,MediaElement
202,129,MediaElement
196,130,MediaElement
203,130,MediaElement
204,130,MediaElement
202,130,MediaElement
196,131,MediaElement
203,131,MediaElement
206,131,MediaElement
202,131,MediaElement
196,132,MediaElement
203,132,MediaElement
207,132,MediaElement
202,132,MediaElement
196,133,MediaElement
203,133,MediaElement
207,133,MediaElement
202,133,MediaElement
196,134,MediaElement
203,134,MediaElement
207,134,MediaElement
202,134,MediaElement
196,135,MediaElement
203,135,MediaElement
207,135,MediaElement
202,135,MediaElement
196,137,MediaElement
203,137,MediaElement
207,137,MediaElement
202,137,MediaElement
196,138,MediaElement
203,138,MediaElement
207,138,MediaElement
202,138,MediaElement
196,139,MediaElement
203,139,MediaElement
207,139,MediaElement
202,139,MediaElement
208,140,MediaElement
203,140,MediaElement
202,140,MediaElement
201,140,MediaElement
208,141,MediaElement
203,141,MediaElement
201,141,MediaElement
202,141,MediaElement
209,142,MediaElement
201,142,MediaElement
202,142,MediaElement
203,142,MediaElement
202,147,MediaElement
208,147,MediaElement
201,147,MediaElement
203,147,MediaElement
203,65,Lesson
202,65,Lesson
8,65,Lesson
263,65,Lesson
208,267,MediaElement
205,267,MediaElement
89,267,MediaElement
529,267,MediaElement
208,268,MediaElement
205,268,MediaElement
529,268,MediaElement
89,268,MediaElement
