id,user_id,title,description
33,1,"taci sterco di un latitante","Vendere Osvaldo è la piu' grossa fesseria che la Roma puo fare, teniamolo è un'ottimo attacante al momento insustituibile con il budget della Roma poi chi lo dovrebbe sostituire?? Quest'anno sono sicuro sarà il valore aggiunto!!"
34,1,"il capitano in due parole","Ancora con inter e napoli???? NOOOOOO, a mazzarri e adl nienteeeeeeeee, dopo che ci ha perkulati ora gli diamo anche i giocatori che vuole? Sabatini, per cortesia nun famo sta kazzata ehhhh! RINFORZARE DIRETTE CONCORRENTI???? MAIIIII E POI MAIIIIIII, SE DEVI VENDERE, VENDI "
35,1,"ha detto un dato di fatto","La rubentus secondo quanto elaborato da Giuseppe D' Onofrio e Alessandro Donati, due scienziati italiani usò Epo nel 1996 .. i giocatori rubentini avrebbero fatto uso di EPO prima della finale di Champions League contro l'Ajax nel 1996. "
36,1,"da contratto questo è il","120 milioni per prendere 3 pere (quasi) dall'arsenal in vantaggio anche di 2 gol, e reina ha salvato la disfatta parando un rigore puaaahhhhh"
37,1,"Ar pupone l'anno fatto la maglia","ciao a tutti so da maggica non me frega niente de a coppa italia perchè nella mia gloriosa storia ho vinto tantissimi trofei come la gloriosa coppa delle fiere e la coppa degli all stars usa!!!!!"
38,1,"di lana spessa","mi accingo a festeggiare lo scudetto d'agosto perchè noi semo i più forti noi semo i mejo tutti l'altri stanno a rosika!!! secondo la mia logica anche chi è innocnete ma è della lazio deve anda in carcere perchè noi semo più forti de loro e solo cosi potemo batteli!!!!"
39,1,"per proteggerlo dal vento","Per me..Alexis Sanchez con Higuain,Hamsik,Insigne,Callejon.. sarebbe il miglior attacco della serie A!..è solo un parere da tifoso esterno..io sarei già contento di averne 1 di questi 5 nella mia squadra"
40,1,"cornetti cornetti cornetti","ma scherziamo? si spende 120 milioni di euro per fare una squadra da 'top team' e si pensa di comprare Osvaldo? ma lasciamolo alla rometta che gli serve per la lotta per il 6 posto."
41,1,"È arrivato il bibitaro Pallotta","Un commento molto azzardato il tuo......poi magari davvero la Roma arriva sesta o peggio ma se fossi in te penserei alla tua di squadra che sulla carta dovrebbe vincere molto...."
42,1,"Regala altri soldi al capetano","Il pm di Cremona: 'Come si può ritenere attendibile Gervasoni e poi non dare seguito alle sue dichiarazioni? E Ilievski non va certo a Roma o a Lecce per turismo'"
43,1,"che deve paga lo psicologo","ci vuole poco,x farvi fessi e contenti,cominciate a mettere in moto il motorino,x quando dovra' scappare de lamentis,l'anno scorso e' uscito dalla lega calcio,xche' v"
